transcript	zeroOne	annot.x	pident.x	length.x	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_13135_c0_g1_i1.p1	1	sp|Q9GZM7|TINAL_HUMAN	43.3	455	215	12	45	485	42	467	2.27E-117	356	sp|Q9GZM7|TINAL_HUMAN	43.3	455	215	12	42	467	45	485	1.39E-120	360
TRINITY_GG_13136_c3_g1_i2.p1	1	sp|Q6X0I2|VGR_SOLIN	39.1	1468	817	36	249	1663	202	1645	9.62E-174	577	sp|Q6X0I2|VGR_SOLIN	39.1	1469	811	35	202	1643	249	1661	8.77E-173	571
TRINITY_GG_13138_c3_g1_i1.p1	1	sp|Q5RE08|FBX22_PONAB	27.2	390	254	14	50	429	28	397	6.76E-30	123	sp|Q5RE08|FBX22_PONAB	27.2	390	254	14	28	397	50	429	4.85E-31	122
TRINITY_GG_13139_c3_g1_i2.p1	1	sp|O97490|TRFM_RABIT	38.3	410	223	14	409	806	309	700	2.46E-71	252	sp|O97490|TRFM_RABIT	38.3	410	223	14	309	700	409	806	2.61E-74	256
TRINITY_GG_13148_c7_g1_i1.p1	1	sp|P36975|SNP25_DROME	82.9	199	34	0	15	213	14	212	1.12E-118	338	sp|P36975|SNP25_DROME	82.9	199	34	0	14	212	15	213	8.84E-118	333
TRINITY_GG_13158_c10_g1_i1.p1	1	sp|Q9VHN5|UNC50_DROME	60.4	268	105	1	5	272	8	274	8.30E-114	331	sp|Q9VHN5|UNC50_DROME	60.4	268	105	1	8	274	5	272	3.98E-114	328
TRINITY_GG_13158_c10_g1_i1.p2	1	sp|Q5TYV0|EMC7_DANRE	49.2	195	94	3	38	228	37	230	8.01E-54	176	sp|Q5TYV0|EMC7_DANRE	51.4	183	84	3	37	218	38	216	5.43E-54	172
TRINITY_GG_13160_c2_g1_i2.p1	1	sp|Q6PFH3|DCA15_MOUSE	31.7	246	142	6	68	305	37	264	8.87E-28	123	sp|Q6PFH3|DCA15_MOUSE	33	215	123	5	63	264	99	305	2.64E-28	120
TRINITY_GG_13165_c0_g1_i1.p1	1	sp|Q8CE50|SNX30_MOUSE	38.1	388	194	2	66	453	87	428	2.23E-84	269	sp|Q8CE50|SNX30_MOUSE	38.1	388	194	2	87	428	66	453	6.33E-89	277
TRINITY_GG_13166_c7_g1_i4.p1	1	sp|A2AAE1|K1109_MOUSE	33.6	5472	2821	144	30	5180	24	5002	0	2435	sp|A2AAE1|K1109_MOUSE	33.5	5469	2811	145	24	4994	30	5172	0	2420
TRINITY_GG_13168_c37_g1_i3.p1	1	sp|P15278|FAS3_DROME	30	413	245	11	33	438	22	397	1.50E-44	166	sp|P15278|FAS3_DROME	30	413	245	11	22	397	33	438	5.03E-49	175
TRINITY_GG_13168_c38_g1_i1.p1	1	sp|Q7K5M0|SCARF_DROME	58.1	62	26	0	192	253	344	405	7.41E-15	82.4	sp|Q7K5M0|SCARF_DROME	55.4	65	29	0	344	408	192	256	3.14E-16	82
TRINITY_GG_13168_c38_g1_i1.p2	1	sp|P23591|FCL_MOUSE	67.6	315	97	2	7	320	10	320	2.76E-154	437	sp|P23591|FCL_MOUSE	67.2	320	90	3	10	320	7	320	2.29E-155	437
TRINITY_GG_13168_c39_g2_i1.p1	1	sp|Q9VFC8|GYS_DROME	77.1	625	139	1	5	625	20	644	0	1039	sp|Q9VFC8|GYS_DROME	77.1	625	139	1	20	644	5	625	0	1036
TRINITY_GG_13168_c41_g1_i4.p1	1	sp|Q5YLM1|DGLA_RAT	45.7	703	337	8	1	695	1	666	6.70E-200	598	sp|Q5YLM1|DGLA_RAT	45.2	705	351	5	1	673	1	702	2.66E-204	606
TRINITY_GG_13171_c0_g1_i2.p1	1	sp|P20028|RPA2_DROME	57.2	848	349	6	3	846	291	1128	0	968	sp|P20028|RPA2_DROME	57.2	848	349	6	291	1128	3	846	0	976
TRINITY_GG_13173_c4_g1_i1.p1	1	sp|P12831|CYC_SARPE	91.7	108	9	0	1	108	1	108	4.84E-74	217	sp|P12831|CYC_SARPE	91.7	108	9	0	1	108	1	108	1.99E-75	217
TRINITY_GG_13179_c11_g1_i2.p1	1	sp|Q9QZA2|PDC6I_RAT	45.9	867	428	9	1	837	1	856	1.37E-224	658	sp|Q9QZA2|PDC6I_RAT	45.9	867	428	9	1	856	1	837	4.20E-223	650
TRINITY_GG_13179_c11_g1_i2.p2	1	sp|Q3KPV4|TMUB1_XENLA	33.1	166	80	3	202	364	158	295	1.24E-16	83.2	sp|Q3KPV4|TMUB1_XENLA	34.5	171	85	5	158	301	202	372	1.03E-17	82
TRINITY_GG_13179_c9_g1_i2.p1	1	sp|Q9NQ48|LZTL1_HUMAN	45.6	298	154	5	4	300	2	292	1.92E-66	213	sp|Q9NQ48|LZTL1_HUMAN	45.6	298	154	5	2	292	4	300	4.80E-66	208
TRINITY_GG_13179_c9_g1_i2.p2	1	sp|Q8BGD9|IF4B_MOUSE	38.9	211	103	7	1	193	1	203	5.90E-29	117	sp|Q8BGD9|IF4B_MOUSE	38.9	211	103	7	1	203	1	193	2.29E-29	115
TRINITY_GG_13187_c2_g1_i1.p1	1	sp|Q1LUV9|M1I1B_DANRE	27.2	92	56	1	32	123	6	86	3.84E-07	51.6	sp|Q1LUV9|M1I1B_DANRE	28.2	85	50	1	13	86	39	123	4.61E-08	49.7
TRINITY_GG_13193_c1_g1_i1.p1	1	sp|Q9QXL7|NDK7_RAT	49.3	373	184	3	7	378	25	393	6.36E-125	368	sp|Q9QXL7|NDK7_RAT	49.3	373	184	3	25	393	7	378	4.44E-125	365
TRINITY_GG_13203_c16_g1_i2.p1	1	sp|Q9QX82|MUC24_RAT	54.2	48	21	1	144	191	149	195	5.98E-09	56.6	sp|Q9QX82|MUC24_RAT	54.2	48	21	1	149	195	144	191	4.78E-10	55.8
TRINITY_GG_13205_c10_g2_i1.p1	1	sp|Q7K3D8|DMAP1_DROME	55.9	433	169	8	2	416	3	431	2.18E-159	460	sp|Q7K3D8|DMAP1_DROME	55.9	433	169	8	3	431	2	416	2.03E-159	456
TRINITY_GG_13206_c17_g1_i2.p1	1	sp|Q9JI19|FIBP_MOUSE	47.8	358	177	5	9	361	4	356	3.85E-115	341	sp|Q9JI19|FIBP_MOUSE	47.8	358	177	5	4	356	9	361	7.24E-115	337
TRINITY_GG_13206_c20_g1_i5.p1	1	sp|Q8JZU0|NUD13_MOUSE	45.5	167	80	4	8	169	183	343	8.09E-39	138	sp|Q8JZU0|NUD13_MOUSE	43.9	173	86	4	177	343	2	169	2.06E-38	134
TRINITY_GG_13207_c7_g1_i1.p2	1	sp|Q32L89|PIGH_BOVIN	40	90	54	0	117	206	88	177	1.30E-14	72.4	sp|Q32L89|PIGH_BOVIN	32.2	143	96	1	36	177	64	206	9.06E-16	71.6
TRINITY_GG_13208_c26_g3_i1.p1	1	sp|P45843|SCRT_DROME	50.3	612	291	5	61	671	63	662	1.97E-204	592	sp|P45843|SCRT_DROME	50.2	612	292	5	63	662	61	671	1.35E-209	602
TRINITY_GG_13221_c4_g1_i1.p1	1	sp|P09478|ACH1_DROME	74.9	590	85	9	18	589	20	564	2.54E-301	831	sp|P09478|ACH1_DROME	75	587	90	8	20	564	18	589	2.36E-301	828
TRINITY_GG_13223_c10_g1_i2.p1	1	sp|P49630|RL36_DROME	69.9	113	32	1	1	111	3	115	7.36E-44	141	sp|P49630|RL36_DROME	69.9	113	32	1	3	115	1	111	3.81E-46	144
TRINITY_GG_13223_c17_g1_i1.p1	1	sp|Q9NY59|NSMA2_HUMAN	35.1	313	177	7	186	484	353	653	3.86E-38	150	sp|Q9NY59|NSMA2_HUMAN	32.9	356	199	9	320	649	139	480	2.92E-39	150
TRINITY_GG_13223_c18_g1_i12.p1	1	sp|Q7KRY7|SCRIB_DROME	57.2	1572	487	26	1	1473	1	1485	6.55E-221	719	sp|Q7KRY7|SCRIB_DROME	57.8	1498	513	25	1	1433	1	1444	6.67E-226	729
TRINITY_GG_13223_c18_g1_i12.p2	1	sp|Q9W3D3|CRAG_DROME	41.1	2034	754	58	1	1954	1	1670	0	1217	sp|Q9W3D3|CRAG_DROME	41.2	2025	765	58	1	1670	1	1954	0	1231
TRINITY_GG_13223_c18_g1_i12.p4	1	sp|Q26630|IDLC_STRPU	77.4	195	44	0	12	206	65	259	9.94E-101	295	sp|Q26630|IDLC_STRPU	77.4	195	44	0	65	259	12	206	1.40E-99	288
TRINITY_GG_13223_c18_g1_i12.p5	1	sp|B3M185|RAS1_DROAN	88.9	190	20	1	1	190	1	189	3.02E-114	325	sp|B3M185|RAS1_DROAN	92.2	179	14	0	1	179	1	179	7.15E-115	323
TRINITY_GG_13233_c0_g1_i1.p1	1	sp|Q2TAW0|CNDG2_XENLA	28.5	783	496	16	132	903	148	877	2.27E-72	267	sp|Q2TAW0|CNDG2_XENLA	28.4	784	497	16	147	877	131	903	3.14E-77	277
TRINITY_GG_13238_c0_g1_i2.p1	1	sp|Q9NWZ5|UCKL1_HUMAN	66.7	484	155	2	70	552	55	533	3.10E-224	634	sp|Q9NWZ5|UCKL1_HUMAN	66.7	484	155	2	55	533	70	552	1.55E-226	636
TRINITY_GG_13239_c6_g1_i1.p1	1	sp|Q8BI79|CCD40_MOUSE	39.7	116	69	1	23	138	912	1026	3.61E-13	73.6	sp|Q8BI79|CCD40_MOUSE	39.7	116	69	1	912	1026	23	138	6.95E-16	79.3
TRINITY_GG_13240_c6_g1_i1.p1	1	sp|Q964T2|CP9E2_BLAGE	46.9	520	264	3	17	527	17	533	3.58E-183	528	sp|Q964T2|CP9E2_BLAGE	47.7	512	256	3	22	530	22	524	1.45E-184	528
TRINITY_GG_13274_c19_g1_i2.p1	1	sp|Q0V989|CC85C_XENTR	39.9	356	157	10	116	421	19	367	5.95E-51	179	sp|Q0V989|CC85C_XENTR	39.9	356	157	10	19	367	116	421	5.03E-56	189
TRINITY_GG_13282_c0_g1_i1.p1	1	sp|P49119|CDKA1_MESAU	81.8	55	10	0	90	144	59	113	1.16E-24	94.4	sp|P49119|CDKA1_MESAU	81.8	55	10	0	59	113	90	144	1.50E-25	92.8
TRINITY_GG_13284_c1_g1_i2.p1	1	sp|P82861|ADRO_SALFO	48.6	424	200	4	30	437	42	463	3.99E-135	400	sp|P82861|ADRO_SALFO	48.6	422	203	3	42	463	30	437	2.50E-139	408
TRINITY_GG_13286_c27_g1_i1.p1	1	sp|P45985|MP2K4_HUMAN	67	370	100	5	37	405	40	388	1.75E-170	486	sp|P45985|MP2K4_HUMAN	67	370	100	5	40	388	37	405	3.42E-172	486
TRINITY_GG_13286_c33_g1_i1.p1	1	sp|Q8WW62|TMED6_HUMAN	28.6	189	127	4	67	249	43	229	1.53E-17	82.4	sp|Q8WW62|TMED6_HUMAN	28.6	189	127	4	43	229	67	249	5.87E-19	82.4
TRINITY_GG_13286_c36_g1_i1.p1	1	sp|P09057|DCOR_RAT	47.3	419	202	8	3	404	4	420	7.56E-134	397	sp|P09057|DCOR_RAT	49.9	385	179	6	37	420	33	404	2.14E-135	397
TRINITY_GG_13286_c37_g1_i1.p1	1	sp|Q96Q04|LMTK3_HUMAN	42.1	290	149	5	207	485	130	411	5.27E-60	233	sp|Q96Q04|LMTK3_HUMAN	42.1	290	149	5	130	411	207	485	3.61E-62	234
TRINITY_GG_13289_c14_g1_i8.p1	1	sp|Q9EQ60|CAC1H_RAT	45.2	1108	380	21	1	1095	931	1824	4.16E-212	682	sp|Q9EQ60|CAC1H_RAT	45.5	1118	362	22	931	1824	1	1095	7.78E-213	681
TRINITY_GG_13290_c5_g1_i4.p1	1	sp|P25158|OSKA_DROME	29	200	118	9	127	321	420	600	3.65E-15	79.7	sp|P25158|OSKA_DROME	29.3	191	117	7	420	596	127	313	4.72E-17	82
TRINITY_GG_13304_c1_g2_i2.p1	1	sp|Q05913|T2FA_DROME	53.3	546	218	9	12	526	38	577	1.59E-103	325	sp|Q05913|T2FA_DROME	54.2	555	205	8	35	577	9	526	1.11E-103	322
TRINITY_GG_13308_c1_g1_i1.p1	1	sp|Q86VP3|PACS2_HUMAN	38	853	428	32	2	810	88	883	2.44E-129	411	sp|Q86VP3|PACS2_HUMAN	38	844	440	29	88	883	2	810	3.75E-132	415
TRINITY_GG_13310_c2_g1_i2.p1	1	sp|Q811P6|TFB1M_RAT	58.5	313	130	0	8	320	11	323	3.98E-134	388	sp|Q811P6|TFB1M_RAT	58.5	313	130	0	11	323	8	320	4.10E-136	390
TRINITY_GG_13321_c5_g1_i1.p1	1	sp|Q9W4S7|MYC_DROME	42.6	94	54	0	606	699	620	713	1.21E-10	68.6	sp|Q9W4S7|MYC_DROME	53.8	65	30	0	620	684	606	670	6.74E-12	68.2
TRINITY_GG_13321_c6_g1_i3.p1	1	sp|Q9H3H1|MOD5_HUMAN	51.3	277	125	6	9	281	162	432	3.13E-89	276	sp|Q9H3H1|MOD5_HUMAN	51.3	277	125	6	162	432	9	281	8.83E-92	280
TRINITY_GG_13322_c0_g1_i2.p1	1	sp|Q9CPU7|FBX32_MOUSE	31.7	385	227	10	1	380	1	354	1.16E-52	181	sp|Q9CPU7|FBX32_MOUSE	31.5	387	223	11	1	353	1	379	1.41E-51	175
TRINITY_GG_13325_c23_g1_i1.p1	1	sp|A9CES3|ATRDH_AGRFC	31.3	307	184	10	1	299	1	288	1.95E-36	137	sp|A9CES3|ATRDH_AGRFC	31.3	307	184	10	1	288	1	299	5.79E-37	135
TRINITY_GG_13325_c24_g1_i1.p1	1	sp|P97823|LYPA1_MOUSE	57.3	218	89	2	5	218	11	228	7.48E-90	266	sp|P97823|LYPA1_MOUSE	57.3	218	89	2	11	228	5	218	1.61E-91	267
TRINITY_GG_13325_c34_g1_i1.p1	1	sp|Q6TLH3|CUED2_DANRE	39.8	304	160	5	8	311	2	282	2.52E-59	194	sp|Q6TLH3|CUED2_DANRE	40.5	304	158	6	2	282	8	311	2.38E-61	196
TRINITY_GG_13325_c37_g1_i1.p1	1	sp|Q26474|LACH_SCHAM	84.6	332	50	1	21	352	19	349	5.10E-212	587	sp|Q26474|LACH_SCHAM	82.7	346	56	2	8	349	7	352	7.05E-214	588
TRINITY_GG_13327_c10_g1_i1.p1	1	sp|Q9UL36|ZN236_HUMAN	61.5	234	74	2	1265	1482	963	1196	6.03E-24	114	sp|Q9UL36|ZN236_HUMAN	44	659	300	17	39	681	215	820	5.98E-24	110
TRINITY_GG_13327_c9_g1_i1.p1	1	sp|P15259|PGAM2_HUMAN	63	254	92	2	4	257	2	253	3.17E-111	323	sp|P15259|PGAM2_HUMAN	63	254	92	2	2	253	4	257	1.11E-113	326
TRINITY_GG_13332_c7_g1_i1.p1	1	sp|Q7K4Q5|Y0417_DROME	39.3	687	296	15	1	675	1	578	5.30E-112	355	sp|Q7K4Q5|Y0417_DROME	38.9	687	299	15	1	578	1	675	8.63E-112	351
TRINITY_GG_13332_c9_g1_i2.p1	1	sp|A1Z9P3|SHRM_DROME	34.2	383	186	9	1746	2123	1250	1571	1.18E-39	166	sp|A1Z9P3|SHRM_DROME	34.4	387	180	8	1250	1571	1746	2123	7.11E-42	168
TRINITY_GG_13341_c0_g1_i2.p1	1	sp|Q810B3|BSH_MOUSE	68.9	122	32	4	156	272	69	189	1.00E-41	147	sp|Q810B3|BSH_MOUSE	68.9	122	32	4	69	189	156	272	4.71E-42	144
TRINITY_GG_13349_c5_g1_i1.p1	1	sp|Q8TDY2|RBCC1_HUMAN	32.7	654	389	8	2	607	3	653	2.51E-88	320	sp|Q8TDY2|RBCC1_HUMAN	33.9	601	356	7	3	600	2	564	2.78E-91	325
TRINITY_GG_13352_c0_g1_i1.p1	1	sp|Q27403|GCM_DROME	69.2	195	60	0	52	246	25	219	4.90E-89	291	sp|Q27403|GCM_DROME	69.2	195	60	0	25	219	52	246	7.69E-90	289
TRINITY_GG_13355_c10_g1_i1.p1	1	sp|Q9ET77|JPH3_MOUSE	54.8	440	184	6	40	471	4	436	4.69E-85	290	sp|Q9ET77|JPH3_MOUSE	55	440	183	7	4	436	40	471	1.16E-82	280
TRINITY_GG_13355_c11_g1_i1.p1	1	sp|D2I2M6|MPPE1_AILME	48.1	133	67	2	1	131	239	371	1.97E-39	139	sp|D2I2M6|MPPE1_AILME	49.2	130	64	2	239	368	1	128	1.02E-41	143
TRINITY_GG_13358_c2_g1_i4.p1	1	sp|Q8C753|KATIP_MOUSE	44.8	471	204	11	201	622	889	1352	1.06E-112	375	sp|Q8C753|KATIP_MOUSE	44.6	473	202	11	889	1352	201	622	1.03E-113	375
TRINITY_GG_13358_c3_g1_i2.p1	1	sp|Q3ZC24|MARH5_BOVIN	67.2	262	85	1	34	295	12	272	1.85E-127	368	sp|Q3ZC24|MARH5_BOVIN	67.2	262	85	1	12	272	34	295	4.28E-132	376
TRINITY_GG_13359_c0_g1_i1.p1	1	sp|Q7ZUN8|YKT6_DANRE	66.2	195	66	0	1	195	1	195	2.39E-85	253	sp|Q7ZUN8|YKT6_DANRE	66.2	195	66	0	1	195	1	195	2.81E-86	252
TRINITY_GG_13363_c0_g1_i1.p1	1	sp|Q7KRW1|TRC8_DROME	53.3	696	250	10	1	643	1	674	3.15E-238	685	sp|Q7KRW1|TRC8_DROME	53.3	696	250	10	1	674	1	643	1.05E-239	686
TRINITY_GG_13365_c33_g1_i1.p1	1	sp|Q5ZKJ0|CLP1L_CHICK	57.1	352	144	4	2	349	171	519	3.10E-142	417	sp|Q5ZKJ0|CLP1L_CHICK	57.1	352	144	4	171	519	2	349	1.23E-141	412
TRINITY_GG_13365_c35_g1_i4.p1	1	sp|P24140|GPT_CRIGR	60.6	401	155	2	2	400	9	408	1.63E-168	480	sp|P24140|GPT_CRIGR	60.8	401	154	3	9	408	2	400	9.75E-170	480
TRINITY_GG_13365_c37_g1_i1.p1	1	sp|P49791|NU153_RAT	32.2	301	164	10	745	1018	661	948	4.06E-33	144	sp|P49791|NU153_RAT	23.9	1161	590	46	17	1018	48	1074	4.20E-36	149
TRINITY_GG_13365_c38_g1_i1.p1	1	sp|Q09327|MGAT3_HUMAN	30.9	417	213	13	78	431	98	502	2.17E-53	189	sp|Q09327|MGAT3_HUMAN	30.9	417	213	13	98	502	78	431	5.41E-57	196
TRINITY_GG_13365_c43_g1_i5.p1	1	sp|Q5F3U0|SP130_CHICK	38	221	129	3	837	1049	836	1056	4.92E-29	129	sp|Q5F3U0|SP130_CHICK	37.7	215	129	2	836	1050	837	1046	7.79E-35	143
TRINITY_GG_13365_c6_g1_i1.p1	1	sp|Q9DCF9|SSRG_MOUSE	66.3	187	58	2	6	190	2	185	7.13E-75	226	sp|Q9DCF9|SSRG_MOUSE	69	174	52	1	12	185	19	190	1.65E-75	224
TRINITY_GG_13367_c20_g1_i1.p1	1	sp|A0A1S4H2E2|PHCL2_ANOGA	52.1	470	195	8	58	504	152	614	4.42E-153	453	sp|A0A1S4H2E2|PHCL2_ANOGA	51.3	474	204	7	148	614	51	504	2.78E-155	455
TRINITY_GG_13367_c24_g1_i3.p1	1	sp|Q5U247|EXOC8_XENLA	40.8	674	370	12	18	686	20	669	7.75E-150	454	sp|Q5U247|EXOC8_XENLA	40.7	674	371	11	20	669	18	686	6.62E-147	443
TRINITY_GG_13367_c24_g1_i3.p2	1	sp|O75391|SPAG7_HUMAN	48.3	145	75	0	1	145	73	217	1.67E-37	130	sp|O75391|SPAG7_HUMAN	48.3	145	75	0	73	217	1	145	1.27E-39	133
TRINITY_GG_13367_c25_g1_i36.p1	1	sp|Q7PQ25|CCDCX_ANOGA	38.9	321	116	13	30	339	851	1102	3.09E-23	104	sp|Q7PQ25|CCDCX_ANOGA	38	321	119	11	851	1102	30	339	4.63E-26	110
TRINITY_GG_13368_c5_g1_i5.p1	1	sp|P92208|JNK_DROME	88.4	361	42	0	18	378	9	369	1.11E-239	659	sp|P92208|JNK_DROME	88.4	361	42	0	9	369	18	378	1.15E-238	653
TRINITY_GG_13375_c12_g1_i2.p1	1	sp|Q94527|NFKB1_DROME	33.1	741	346	25	64	741	150	803	1.05E-84	292	sp|Q94527|NFKB1_DROME	33.2	731	358	22	150	803	64	741	1.55E-87	296
TRINITY_GG_13375_c13_g1_i2.p1	1	sp|Q61555|FBN2_MOUSE	60	1753	662	20	15	1743	761	2497	4.11E-140	493	sp|Q61555|FBN2_MOUSE	59.9	1753	663	20	761	2497	15	1743	3.75E-146	508
TRINITY_GG_13375_c15_g1_i1.p1	1	sp|Q945U1|RS15_ELAOL	80.1	141	28	0	7	147	13	153	5.86E-79	233	sp|Q945U1|RS15_ELAOL	80.1	141	28	0	13	153	7	147	1.51E-81	236
TRINITY_GG_13382_c0_g1_i2.p1	1	sp|O18400|PITX_DROME	52.6	388	134	17	106	480	157	507	1.50E-84	272	sp|O18400|PITX_DROME	51.7	402	144	16	143	507	92	480	4.99E-81	259
TRINITY_GG_13383_c0_g1_i1.p1	1	sp|Q9VA27|CP4C3_DROME	62.3	438	156	4	1	437	106	535	1.86E-188	537	sp|Q9VA27|CP4C3_DROME	62.3	438	156	4	106	535	1	437	1.42E-191	542
TRINITY_GG_13383_c1_g1_i1.p1	1	sp|P07602|SAP_HUMAN	24.4	283	175	7	24	279	1	271	3.94E-18	87.8	sp|P07602|SAP_HUMAN	24.3	259	161	6	25	271	44	279	2.32E-18	85.1
TRINITY_GG_13388_c10_g1_i1.p1	1	sp|P07742|RIR1_MOUSE	76.7	803	176	2	9	811	1	792	0	1274	sp|P07742|RIR1_MOUSE	76.7	803	176	2	1	792	9	811	0	1267
TRINITY_GG_13388_c11_g1_i1.p1	1	sp|P54145|AMT1_CAEEL	43.8	420	207	7	1	401	44	453	2.37E-96	302	sp|P54145|AMT1_CAEEL	43.6	420	208	6	44	453	1	401	6.36E-107	326
TRINITY_GG_13388_c13_g1_i1.p1	1	sp|Q27367|CRQ_DROME	37.6	479	280	9	6	470	10	483	1.02E-114	350	sp|Q27367|CRQ_DROME	37.8	474	276	9	10	478	6	465	1.49E-119	358
TRINITY_GG_13389_c3_g1_i1.p1	1	sp|O96647|RL10_BOMMA	89.5	219	23	0	1	219	1	219	1.17E-144	405	sp|O96647|RL10_BOMMA	89.5	219	23	0	1	219	1	219	1.18E-146	406
TRINITY_GG_13395_c2_g1_i1.p1	1	sp|Q07961|ABDA_TRICA	70	293	31	7	156	442	102	343	9.02E-75	240	sp|Q07961|ABDA_TRICA	70	293	31	7	102	343	156	442	5.74E-76	239
TRINITY_GG_13397_c1_g1_i1.p1	1	sp|Q9BUL8|PDC10_HUMAN	50.5	208	95	3	3	207	8	210	2.44E-57	183	sp|Q9BUL8|PDC10_HUMAN	50.5	208	95	3	8	210	3	207	4.09E-58	181
TRINITY_GG_13405_c2_g1_i1.p1	1	sp|P59808|SASH1_MOUSE	52	152	67	2	196	346	546	692	4.93E-38	153	sp|P59808|SASH1_MOUSE	50	164	73	3	546	701	196	358	8.10E-39	152
TRINITY_GG_13406_c23_g1_i1.p1	1	sp|P56537|IF6_HUMAN	84	244	39	0	1	244	1	244	3.23E-150	421	sp|P56537|IF6_HUMAN	84	244	39	0	1	244	1	244	7.70E-151	419
TRINITY_GG_13406_c29_g1_i1.p1	1	sp|Q8K245|UVRAG_MOUSE	36.1	477	249	10	22	494	33	457	3.94E-70	249	sp|Q8K245|UVRAG_MOUSE	35.4	495	264	9	33	475	22	512	3.43E-72	251
TRINITY_GG_13409_c4_g1_i1.p1	1	sp|A0A1D5PUP4|RECK_CHICK	36.9	586	331	13	6	584	10	563	3.75E-109	352	sp|A0A1D5PUP4|RECK_CHICK	37	586	330	14	10	563	6	584	1.22E-118	374
TRINITY_GG_13412_c9_g1_i1.p1	1	sp|Q9VWH4|IDH3A_DROME	76.4	377	66	1	1	354	1	377	1.38E-205	571	sp|Q9VWH4|IDH3A_DROME	76.4	377	66	1	1	377	1	354	8.54E-207	571
TRINITY_GG_13416_c2_g1_i1.p1	1	sp|Q6GNQ4|GKP1A_XENLA	32.3	248	139	5	94	323	105	341	4.89E-25	107	sp|Q6GNQ4|GKP1A_XENLA	32.5	246	137	5	107	341	96	323	7.16E-25	102
TRINITY_GG_13422_c1_g1_i1.p1	1	sp|O42490|OPSP_PETMA	35.4	189	114	2	5	188	163	348	1.99E-27	114	sp|O42490|OPSP_PETMA	35.4	189	118	2	161	348	3	188	6.61E-31	120
TRINITY_GG_13425_c11_g1_i1.p1	1	sp|C0HLB2|VKT_PSEPC	53.8	52	23	1	1000	1051	7	57	2.30E-13	69.7	sp|C0HLB2|VKT_PSEPC	53.8	52	23	1	7	57	1000	1051	1.25E-16	71.2
TRINITY_GG_13425_c14_g1_i9.p1	1	sp|Q6PF21|SYMC_XENLA	48	485	225	10	1	476	1	467	1.10E-135	416	sp|Q6PF21|SYMC_XENLA	48	485	225	10	1	467	1	476	2.01E-134	410
TRINITY_GG_13426_c2_g1_i1.p1	1	sp|Q6NSJ0|MYORG_HUMAN	38.1	536	298	9	113	621	182	710	3.51E-122	381	sp|Q6NSJ0|MYORG_HUMAN	38.4	536	296	10	182	710	113	621	1.52E-124	384
TRINITY_GG_13442_c24_g1_i1.p1	1	sp|P45594|CADF_DROME	91.9	148	12	0	1	148	1	148	8.80E-96	275	sp|P45594|CADF_DROME	91.9	148	12	0	1	148	1	148	1.47E-96	274
TRINITY_GG_13442_c29_g1_i1.p1	1	sp|Q8IQV9|NU205_DROME	34.3	2112	1181	36	8	1978	30	2076	0	1086	sp|Q8IQV9|NU205_DROME	34.3	2108	1188	35	30	2076	8	1978	0	1075
TRINITY_GG_13442_c31_g1_i2.p1	1	sp|Q8BKF1|RPOM_MOUSE	40	1075	589	18	287	1345	172	1206	1.16E-247	746	sp|Q8BKF1|RPOM_MOUSE	40.4	1053	573	17	194	1206	308	1345	2.88E-242	728
TRINITY_GG_13442_c31_g1_i2.p2	1	sp|Q9W261|RTF1_DROME	46.2	665	235	8	134	719	155	775	4.26E-132	412	sp|Q9W261|RTF1_DROME	46.2	665	235	8	155	775	134	719	2.64E-129	401
TRINITY_GG_13442_c32_g3_i2.p1	1	sp|Q5R4F4|SC31A_PONAB	46.7	837	397	15	1	817	1	808	1.93E-247	724	sp|Q5R4F4|SC31A_PONAB	46.7	837	397	15	1	808	1	817	3.31E-247	721
TRINITY_GG_13450_c2_g1_i1.p1	1	sp|Q8CE96|TRM6_MOUSE	36.8	459	263	8	14	468	24	459	2.03E-80	261	sp|Q8CE96|TRM6_MOUSE	36.8	459	263	8	24	459	14	468	1.22E-81	261
TRINITY_GG_13451_c0_g1_i1.p1	1	sp|Q9Y5A7|NUB1_HUMAN	31.1	607	357	9	18	583	15	601	1.81E-79	265	sp|Q9Y5A7|NUB1_HUMAN	31.1	607	357	9	15	601	18	583	3.43E-84	274
TRINITY_GG_13451_c0_g1_i1.p2	1	sp|P18420|PSA1_RAT	66.9	251	83	0	1	251	1	251	4.73E-125	359	sp|P18420|PSA1_RAT	66.9	251	83	0	1	251	1	251	1.86E-126	359
TRINITY_GG_13460_c1_g1_i1.p1	1	sp|Q5XG58|ELP4_XENLA	39.1	233	120	7	2	215	16	245	1.08E-47	164	sp|Q5XG58|ELP4_XENLA	40.4	228	116	7	20	245	6	215	5.01E-47	159
TRINITY_GG_13461_c24_g1_i2.p1	1	sp|L7YAI7|B4GA1_DANRE	41.4	394	194	11	59	442	65	431	7.85E-85	269	sp|L7YAI7|B4GA1_DANRE	41.3	395	193	10	65	431	59	442	6.94E-85	266
TRINITY_GG_13461_c25_g1_i2.p2	1	sp|P36404|ARL2_HUMAN	76.6	184	43	0	1	184	1	184	1.68E-106	305	sp|P36404|ARL2_HUMAN	76.6	184	43	0	1	184	1	184	5.66E-107	303
