transcript	zeroOne	annot.x	pident.x	length.x	mismatch	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismach	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_12843_c7_g1_i1.p1	1	sp|Q7K0P4|PGAP3_DROME	44.9	285	151	3	33	311	22	306	3.89E-88	270	sp|Q7K0P4|PGAP3_DROME	44.8	286	152	3	22	307	33	312	7.67E-90	271
TRINITY_GG_12848_c3_g1_i1.p1	1	sp|P91623|GATAC_DROME	77	191	23	6	527	711	257	432	1.64E-81	272	sp|P91623|GATAC_DROME	77	191	23	6	257	432	527	711	2.15E-83	273
TRINITY_GG_12849_c11_g1_i4.p1	1	sp|Q5XIX3|DCR1C_RAT	36	367	203	8	1	347	1	355	4.40E-64	219	sp|Q5XIX3|DCR1C_RAT	35.6	374	209	8	1	362	1	354	1.71E-65	220
TRINITY_GG_12849_c11_g1_i4.p2	1	sp|Q2NKU6|DPY30_BOVIN	66.2	65	22	0	39	103	35	99	2.98E-23	89	sp|Q2NKU6|DPY30_BOVIN	71.2	59	17	0	41	99	45	103	2.20E-24	88.2
TRINITY_GG_12849_c12_g1_i3.p1	1	sp|Q9PVV4|PCM1_XENLA	27.9	323	147	8	1290	1538	1405	1715	5.12E-22	108	sp|Q9PVV4|PCM1_XENLA	27.5	334	152	9	1405	1722	1290	1549	1.67E-24	112
TRINITY_GG_12862_c14_g1_i1.p1	1	sp|Q13217|DNJC3_HUMAN	50.4	494	218	7	15	488	18	504	2.48E-154	451	sp|Q13217|DNJC3_HUMAN	50.4	494	218	7	18	504	15	488	1.20E-154	449
TRINITY_GG_12862_c15_g1_i2.p1	1	sp|P24346|DDX3_XENLA	57.9	710	217	13	1	693	1	645	6.11E-257	730	sp|P24346|DDX3_XENLA	58.3	709	216	13	1	645	1	693	8.09E-254	719
TRINITY_GG_12868_c8_g1_i1.p1	1	sp|A2AM29|AF9_MOUSE	61.7	154	53	3	1	152	1	150	1.73E-51	192	sp|A2AM29|AF9_MOUSE	61.7	154	53	3	1	150	1	152	1.43E-53	194
TRINITY_GG_12868_c9_g2_i1.p1	1	sp|Q9W5N0|COA7_DROME	55.6	135	58	1	1	133	1	135	4.19E-46	157	sp|Q9W5N0|COA7_DROME	41.6	262	122	2	1	262	1	231	8.87E-49	160
TRINITY_GG_12868_c9_g3_i1.p1	1	sp|Q7Z2Z2|EFL1_HUMAN	48.2	794	317	14	1	727	354	1120	4.67E-240	701	sp|Q7Z2Z2|EFL1_HUMAN	48.2	794	317	14	354	1120	1	727	5.24E-242	703
TRINITY_GG_12868_c9_g4_i1.p1	1	sp|Q00805|GIL_DROME	38.9	334	80	5	89	301	112	442	4.78E-74	238	sp|Q00805|GIL_DROME	39.2	334	79	5	112	442	89	301	4.63E-76	240
TRINITY_GG_12869_c1_g1_i10.p1	1	sp|Q01295|BRC1_DROME	90.7	118	11	0	2	119	1	118	9.19E-64	223	sp|Q01295|BRC1_DROME	90.7	118	11	0	1	118	2	119	5.53E-65	223
TRINITY_GG_12870_c5_g1_i1.p1	1	sp|Q29RZ2|PPWD1_BOVIN	65.1	591	206	0	22	612	54	644	1.70E-305	851	sp|Q29RZ2|PPWD1_BOVIN	65.1	591	206	0	54	644	22	612	2.31E-305	842
TRINITY_GG_12872_c0_g1_i1.p1	1	sp|Q8WPA2|AR_BOMMO	66.4	333	101	4	19	350	9	331	2.78E-137	399	sp|Q8WPA2|AR_BOMMO	66.4	333	101	4	9	331	19	350	3.10E-140	403
TRINITY_GG_12884_c3_g1_i2.p2	1	sp|Q9JIP0|TRPV5_RAT	29.8	332	189	8	83	401	19	319	7.34E-31	128	sp|Q9JIP0|TRPV5_RAT	30.5	321	179	8	30	319	94	401	9.86E-32	127
TRINITY_GG_12889_c4_g1_i1.p1	1	sp|O88703|HCN2_MOUSE	58.5	574	197	6	145	717	120	653	6.04E-207	611	sp|O88703|HCN2_MOUSE	58.2	574	199	5	120	653	145	717	1.67E-209	614
TRINITY_GG_12890_c2_g1_i2.p1	1	sp|Q8IY26|PLPP6_HUMAN	39.2	181	106	2	11	189	103	281	2.05E-33	124	sp|Q8IY26|PLPP6_HUMAN	38.4	185	110	2	103	285	11	193	1.08E-35	127
TRINITY_GG_12890_c4_g1_i4.p1	1	sp|Q9QXQ1|PDE7B_MOUSE	54	326	148	2	115	438	96	421	3.74E-121	377	sp|Q9QXQ1|PDE7B_MOUSE	54	326	148	2	96	421	115	438	1.92E-119	369
TRINITY_GG_12898_c10_g1_i3.p1	1	sp|Q80TG1|KANL1_MOUSE	26.9	861	448	26	271	1093	257	974	4.39E-51	200	sp|Q80TG1|KANL1_MOUSE	29.7	697	376	23	359	974	430	1093	9.53E-54	204
TRINITY_GG_12898_c11_g1_i3.p1	1	sp|Q3UMZ3|PLPP5_MOUSE	50.7	152	73	2	7	156	2	153	3.15E-44	150	sp|Q3UMZ3|PLPP5_MOUSE	51.3	150	71	2	4	153	9	156	8.83E-46	151
TRINITY_GG_12912_c2_g1_i3.p1	1	sp|Q8BQX5|TMCO6_MOUSE	23.6	280	199	3	90	354	103	382	2.89E-09	62	sp|Q8BQX5|TMCO6_MOUSE	24.2	265	186	3	103	367	90	339	2.03E-08	55.5
TRINITY_GG_12913_c10_g1_i7.p1	1	sp|Q7JVP4|BRDH_DROME	55.3	747	282	10	1	718	1	724	1.74E-272	797	sp|Q7JVP4|BRDH_DROME	55.4	746	281	10	1	723	1	717	1.67E-277	807
TRINITY_GG_12913_c9_g1_i1.p1	1	sp|Q0VFX2|CF157_MOUSE	27.1	451	276	9	24	432	32	471	4.89E-34	139	sp|Q0VFX2|CF157_MOUSE	27.3	451	275	10	32	471	24	432	1.25E-31	127
TRINITY_GG_12916_c6_g1_i2.p1	1	sp|Q3ZBX1|PIGC_BOVIN	41.7	278	152	5	13	281	14	290	4.04E-54	180	sp|Q3ZBX1|PIGC_BOVIN	40.8	277	156	3	14	290	13	281	1.57E-59	191
TRINITY_GG_12916_c6_g2_i2.p1	1	sp|Q7ZX59|CRLF3_XENLA	30.6	435	276	8	18	440	15	435	3.68E-58	200	sp|Q7ZX59|CRLF3_XENLA	30.6	435	276	8	15	435	18	440	2.09E-59	199
TRINITY_GG_12916_c6_g2_i2.p2	1	sp|Q962X9|BUD31_BRABE	92.4	144	11	0	1	144	1	144	3.64E-102	291	sp|Q962X9|BUD31_BRABE	92.4	144	11	0	1	144	1	144	7.36E-104	292
TRINITY_GG_12917_c3_g1_i4.p1	1	sp|O19072|OTC_PIG	29.8	124	73	1	2	111	205	328	2.86E-09	56.6	sp|O19072|OTC_PIG	29.8	124	73	1	205	328	2	111	1.34E-11	60.5
TRINITY_GG_12932_c3_g1_i2.p1	1	sp|Q24278|CNGA_DROME	70.4	521	151	2	261	778	98	618	3.87E-260	743	sp|Q24278|CNGA_DROME	70.4	521	151	2	98	618	261	778	2.06E-262	745
TRINITY_GG_12939_c10_g1_i1.p1	1	sp|D3YY23|LONF1_MOUSE	38.5	382	216	10	463	828	375	753	1.53E-68	245	sp|D3YY23|LONF1_MOUSE	43.5	306	159	7	451	753	534	828	4.49E-71	248
TRINITY_GG_12939_c11_g1_i4.p1	1	sp|Q5VZK9|CARL1_HUMAN	41.3	1037	575	12	5	1019	6	1030	1.83E-242	738	sp|Q5VZK9|CARL1_HUMAN	41.3	1037	575	14	6	1030	5	1019	1.81E-245	742
TRINITY_GG_12939_c11_g1_i4.p2	1	sp|Q8MKN0|COQ9_DROME	50	222	110	1	141	361	104	325	3.54E-66	215	sp|Q8MKN0|COQ9_DROME	50.5	218	107	1	104	321	141	357	8.34E-69	218
TRINITY_GG_12939_c7_g1_i1.p1	1	sp|Q9JLY0|SOCS6_MOUSE	70.1	164	49	0	268	431	370	533	1.07E-72	240	sp|Q9JLY0|SOCS6_MOUSE	70.1	164	49	0	370	533	268	431	8.14E-73	237
TRINITY_GG_12939_c9_g1_i1.p1	1	sp|Q7L211|ABHDD_HUMAN	48.7	300	150	2	43	342	23	318	2.27E-93	286	sp|Q7L211|ABHDD_HUMAN	48.2	307	154	3	23	324	43	349	5.98E-92	278
TRINITY_GG_12943_c0_g1_i1.p1	1	sp|Q9VXL0|OR13A_DROME	26.5	162	103	3	29	176	247	406	1.40E-11	65.5	sp|Q9VXL0|OR13A_DROME	25.7	171	111	3	238	406	20	176	6.95E-13	66.2
TRINITY_GG_12944_c6_g1_i1.p1	1	sp|Q7ZXR7|UB10B_XENLA	40.4	555	263	14	549	1086	302	805	8.88E-106	353	sp|Q7ZXR7|UB10B_XENLA	46.4	418	204	10	393	803	680	1084	1.36E-105	348
TRINITY_GG_12945_c0_g1_i3.p1	1	sp|Q5XJ13|ANKS6_DANRE	42.2	64	37	0	200	263	648	711	9.44E-08	56.2	sp|Q5XJ13|ANKS6_DANRE	42.2	64	37	0	648	711	200	263	2.61E-08	55.1
TRINITY_GG_12946_c17_g1_i1.p1	1	sp|Q9BV81|EMC6_HUMAN	60	95	38	0	20	114	16	110	4.25E-31	109	sp|Q9BV81|EMC6_HUMAN	60	95	38	0	16	110	20	114	1.11E-30	104
TRINITY_GG_12946_c23_g1_i2.p1	1	sp|P56962|STX17_HUMAN	33.7	288	156	5	10	274	7	282	1.16E-39	143	sp|P56962|STX17_HUMAN	34	288	155	6	7	282	10	274	3.46E-41	144
TRINITY_GG_12946_c26_g1_i1.p1	1	sp|Q92562|FIG4_HUMAN	48.5	901	430	13	11	881	8	904	1.19E-277	796	sp|Q92562|FIG4_HUMAN	48.5	901	430	13	8	904	11	881	3.36E-282	805
TRINITY_GG_12946_c28_g1_i1.p1	1	sp|Q6YHK3|CD109_HUMAN	33.7	1393	775	36	124	1459	115	1415	3.44E-224	697	sp|Q6YHK3|CD109_HUMAN	32.5	1491	832	38	28	1415	41	1459	8.24E-229	705
TRINITY_GG_12946_c29_g1_i1.p1	1	sp|A0JME2|MCAF1_DANRE	47.2	106	47	4	1232	1330	672	775	5.33E-14	80.9	sp|A0JME2|MCAF1_DANRE	47.2	106	47	4	672	775	1232	1330	3.51E-14	76.3
TRINITY_GG_12950_c5_g1_i2.p1	1	sp|Q8BJW7|EME1_MOUSE	32	325	194	5	40	347	240	554	1.69E-39	150	sp|Q8BJW7|EME1_MOUSE	32.5	326	191	6	240	554	40	347	1.10E-40	150
TRINITY_GG_12950_c6_g2_i4.p1	1	sp|Q3LHL9|WGE_DROME	31.7	733	253	12	1431	2123	1112	1636	1.04E-82	306	sp|Q3LHL9|WGE_DROME	32.5	714	272	11	1112	1636	1431	2123	4.77E-88	318
TRINITY_GG_12957_c24_g1_i2.p1	1	sp|Q96JG6|VPS50_HUMAN	46.9	650	321	8	57	689	46	688	1.30E-180	543	sp|Q96JG6|VPS50_HUMAN	47.1	646	318	8	46	684	57	685	7.05E-179	535
TRINITY_GG_12957_c24_g2_i7.p1	1	sp|Q4R5D4|ASND1_MACFA	37.5	603	303	16	3	543	21	611	6.41E-117	362	sp|Q4R5D4|ASND1_MACFA	37.2	613	291	15	21	611	3	543	4.15E-115	354
TRINITY_GG_12957_c25_g1_i1.p1	1	sp|Q9VQG2|APH1_DROME	59.6	240	95	2	1	240	1	238	5.08E-90	268	sp|Q9VQG2|APH1_DROME	59.6	240	95	2	1	238	1	240	1.22E-92	271
TRINITY_GG_12957_c25_g2_i1.p1	1	sp|Q3ZK22|VEZA_MOUSE	25.1	545	332	15	47	551	154	662	8.89E-18	91.3	sp|Q3ZK22|VEZA_MOUSE	26.3	403	249	9	220	606	109	479	1.51E-16	83.2
TRINITY_GG_12957_c27_g1_i1.p1	1	sp|A8E657|AASS_BOVIN	53.6	909	411	5	31	939	25	922	0	990	sp|A8E657|AASS_BOVIN	53.6	909	411	5	25	922	31	939	0	991
TRINITY_GG_12957_c27_g2_i1.p1	1	sp|Q8NCJ5|SPRY3_HUMAN	59.8	239	81	3	24	249	206	442	1.46E-90	277	sp|Q8NCJ5|SPRY3_HUMAN	59.8	239	81	3	206	442	24	249	1.87E-92	279
TRINITY_GG_12957_c28_g1_i2.p1	1	sp|Q9ESP5|FEZF2_MOUSE	84.8	33	5	0	205	237	267	299	1.93E-10	66.2	sp|Q9ESP5|FEZF2_MOUSE	84.8	33	5	0	267	299	205	237	4.52E-12	67
TRINITY_GG_12957_c29_g1_i1.p1	1	sp|P16620|PTP69_DROME	44.5	1518	688	36	47	1506	37	1458	0	1185	sp|P16620|PTP69_DROME	45.1	1518	680	39	37	1458	47	1506	0	1201
TRINITY_GG_12959_c39_g1_i5.p1	1	sp|Q9BWW4|SSBP3_HUMAN	46.6	453	127	19	1	427	1	364	2.87E-90	282	sp|Q9BWW4|SSBP3_HUMAN	46.4	457	130	19	1	368	1	431	2.76E-88	273
TRINITY_GG_12959_c45_g1_i2.p1	1	sp|A4IHD2|ARIP4_XENTR	63.6	420	142	4	499	909	228	645	2.53E-170	548	sp|A4IHD2|ARIP4_XENTR	63.6	420	142	4	228	645	499	909	1.53E-170	545
TRINITY_GG_12959_c48_g1_i2.p1	1	sp|Q08AW4|PKHM3_XENLA	50.5	212	105	0	453	664	479	690	1.45E-68	241	sp|Q08AW4|PKHM3_XENLA	50.5	212	105	0	479	690	453	664	4.55E-69	239
TRINITY_GG_12959_c48_g1_i2.p2	1	sp|Q0VC80|YRDC_BOVIN	43.4	212	116	3	9	217	65	275	6.59E-50	166	sp|Q0VC80|YRDC_BOVIN	43.4	212	116	3	65	275	9	217	4.27E-52	169
TRINITY_GG_12959_c49_g1_i3.p2	1	sp|P31597|EAA3_RABIT	49.7	477	217	5	153	610	7	479	5.99E-146	436	sp|P31597|EAA3_RABIT	49.7	477	217	5	2	474	148	605	2.31E-146	433
TRINITY_GG_12959_c50_g1_i4.p1	1	sp|O88480|CABIN_RAT	28.6	1829	1023	46	1	1714	1	1662	1.51E-188	626	sp|O88480|CABIN_RAT	28.6	1821	1035	46	1	1662	1	1714	5.39E-194	637
TRINITY_GG_12959_c9_g1_i1.p1	1	sp|P49071|MAPK2_DROME	78.1	338	74	0	9	346	8	345	2.37E-202	562	sp|P49071|MAPK2_DROME	78.1	338	74	0	8	345	9	346	3.76E-201	556
TRINITY_GG_12964_c15_g1_i2.p2	1	sp|Q2HJH0|LSM5_BOVIN	86.6	82	11	0	1	82	1	82	8.00E-47	147	sp|Q2HJH0|LSM5_BOVIN	86.6	82	11	0	1	82	1	82	1.04E-48	149
TRINITY_GG_12964_c21_g1_i5.p1	1	sp|Q80XP9|WNK3_MOUSE	66.8	376	122	1	352	727	125	497	6.04E-144	500	sp|Q80XP9|WNK3_MOUSE	67	373	120	1	128	497	355	727	8.96E-147	504
TRINITY_GG_12982_c3_g1_i1.p1	1	sp|Q9VJ79|PDE11_DROME	81.9	469	79	2	1	469	642	1104	1.47E-273	788	sp|Q9VJ79|PDE11_DROME	81.9	469	79	2	642	1104	1	469	1.12E-275	791
TRINITY_GG_12991_c2_g1_i1.p1	1	sp|Q505F5|LRC47_MOUSE	40.6	404	203	9	157	528	183	581	2.07E-66	228	sp|Q505F5|LRC47_MOUSE	40.6	404	203	9	183	581	157	528	3.53E-67	226
TRINITY_GG_12991_c3_g1_i3.p1	1	sp|Q6PCX9|TRI37_MOUSE	76.5	447	103	1	10	456	2	446	9.61E-248	712	sp|Q6PCX9|TRI37_MOUSE	76.5	447	103	1	2	446	10	456	8.37E-249	712
TRINITY_GG_12999_c13_g1_i1.p1	1	sp|P53782|CCND2_XENLA	48.1	322	132	5	79	396	1	291	1.54E-88	272	sp|P53782|CCND2_XENLA	54.2	262	112	3	1	258	79	336	1.16E-90	274
TRINITY_GG_12999_c14_g1_i5.p2	1	sp|Q9W391|KPBA_DROME	79.9	573	114	1	1	573	1	572	0	928	sp|Q9W391|KPBA_DROME	79.9	573	114	1	1	572	1	573	0	929
TRINITY_GG_12999_c14_g1_i5.p3	1	sp|E9Q743|CF251_MOUSE	37.3	338	210	1	6	341	907	1244	6.93E-74	253	sp|E9Q743|CF251_MOUSE	37.3	338	210	1	907	1244	6	341	4.27E-76	256
TRINITY_GG_12999_c15_g1_i2.p1	1	sp|Q8MSS1|LVA_DROME	31.5	203	91	5	2717	2893	2587	2767	2.67E-06	57.4	sp|Q8MSS1|LVA_DROME	30.7	202	92	5	2586	2765	2716	2891	9.40E-09	60.8
TRINITY_GG_12999_c16_g1_i1.p1	1	sp|Q6FSB1|YNG2_CANGA	51.1	45	22	0	2530	2574	226	270	3.90E-12	72.8	sp|Q6FSB1|YNG2_CANGA	60.5	38	15	0	227	264	2531	2568	1.01E-13	70.5
TRINITY_GG_12999_c17_g1_i1.p1	1	sp|Q2TBU3|GOSR1_BOVIN	60	240	85	4	15	243	11	250	4.16E-88	264	sp|Q2TBU3|GOSR1_BOVIN	60	240	85	4	11	250	15	243	1.52E-90	266
TRINITY_GG_12999_c17_g1_i1.p2	1	sp|Q5XFY4|BCL7A_DANRE	65.7	67	18	1	1	62	1	67	3.71E-23	92.4	sp|Q5XFY4|BCL7A_DANRE	65.7	67	18	1	1	67	1	62	9.15E-24	90.9
TRINITY_GG_12999_c18_g1_i2.p1	1	sp|P50281|MMP14_HUMAN	34.5	528	266	11	13	526	10	471	6.01E-90	291	sp|P50281|MMP14_HUMAN	34.8	529	263	12	10	471	13	526	4.31E-93	296
TRINITY_GG_12999_c18_g1_i2.p2	1	sp|P91938|TRXR1_DROME	57.3	518	187	5	44	560	112	596	1.64E-209	598	sp|P91938|TRXR1_DROME	57.3	518	187	5	112	596	44	560	2.34E-209	594
TRINITY_GG_12999_c7_g1_i1.p1	1	sp|Q9VMX0|RM28_DROME	43.6	275	126	5	24	269	26	300	1.29E-67	214	sp|Q9VMX0|RM28_DROME	43.6	275	126	5	26	300	24	269	6.51E-71	219
TRINITY_GG_13002_c13_g1_i1.p1	1	sp|P07031|ACYP2_CHICK	50.5	97	48	0	78	174	7	103	5.19E-28	103	sp|P07031|ACYP2_CHICK	50.5	97	48	0	7	103	78	174	2.52E-29	102
TRINITY_GG_13003_c10_g1_i2.p1	1	sp|Q5LJZ2|SET1_DROME	30.8	1913	839	65	38	1763	27	1641	3.82E-155	521	sp|Q5LJZ2|SET1_DROME	30.6	1914	842	65	27	1641	38	1763	4.83E-152	509
TRINITY_GG_13003_c11_g1_i1.p1	1	sp|Q810B6|ANFY1_MOUSE	41.7	1282	624	14	8	1286	5	1166	1.24E-263	784	sp|Q810B6|ANFY1_MOUSE	41.7	1282	624	14	5	1166	8	1286	1.95E-270	798
TRINITY_GG_13003_c5_g1_i1.p1	1	sp|P02401|RLA2_RAT	73.5	68	18	0	1	68	1	68	4.83E-27	99.4	sp|P02401|RLA2_RAT	73.5	68	18	0	1	68	1	68	3.89E-28	98.6
TRINITY_GG_13003_c8_g1_i1.p1	1	sp|P29742|CLH_DROME	87.1	1673	202	3	1	1672	1	1661	0	2908	sp|P29742|CLH_DROME	87.1	1673	202	3	1	1661	1	1672	0	2899
TRINITY_GG_13003_c9_g1_i3.p1	1	sp|O60671|RAD1_HUMAN	45.6	215	112	2	1	210	1	215	4.31E-60	192	sp|O60671|RAD1_HUMAN	45.6	215	112	2	1	215	1	210	2.02E-62	195
TRINITY_GG_13004_c3_g1_i1.p1	1	sp|Q5M818|RM16_RAT	44.9	216	116	1	26	241	29	241	5.86E-60	192	sp|Q5M818|RM16_RAT	44.9	216	116	1	29	241	26	241	6.42E-59	186
TRINITY_GG_13004_c6_g2_i1.p1	1	sp|P15651|ACADS_RAT	70.9	398	116	0	12	409	13	410	1.65E-198	557	sp|P15651|ACADS_RAT	70.9	398	116	0	13	410	12	409	3.37E-200	558
TRINITY_GG_13005_c3_g1_i4.p1	1	sp|Q9W352|CXXC1_DROME	51.4	560	203	10	1	510	22	562	3.30E-177	516	sp|Q9W352|CXXC1_DROME	51.1	566	204	11	22	566	1	514	5.88E-182	525
TRINITY_GG_13010_c3_g1_i11.p1	1	sp|Q8IVH8|M4K3_HUMAN	50.5	1002	344	23	11	973	6	894	0	907	sp|Q8IVH8|M4K3_HUMAN	50.7	996	351	22	6	894	11	973	1.07E-305	900
TRINITY_GG_13015_c1_g1_i1.p1	1	sp|Q5SGD2|PPM1L_HUMAN	40.4	450	156	8	33	474	7	352	3.17E-95	295	sp|Q5SGD2|PPM1L_HUMAN	40.4	450	156	8	7	352	33	474	1.33E-96	295
TRINITY_GG_13022_c1_g1_i1.p1	1	sp|Q9NGX9|CP302_DROME	45.4	480	243	7	43	516	19	485	4.69E-143	423	sp|Q9NGX9|CP302_DROME	45.4	480	243	7	19	485	43	516	9.04E-145	424
TRINITY_GG_13029_c0_g1_i1.p1	1	sp|Q8IXS2|DRC2_HUMAN	30.2	358	244	4	17	371	12	366	4.70E-31	126	sp|Q8IXS2|DRC2_HUMAN	30.2	358	244	4	12	366	17	371	5.71E-35	134
TRINITY_GG_13041_c6_g1_i2.p1	1	sp|Q6IEE7|T132E_HUMAN	29	786	440	20	88	856	114	798	3.32E-73	270	sp|Q6IEE7|T132E_HUMAN	29.4	786	437	21	114	798	88	856	5.60E-75	271
TRINITY_GG_13048_c5_g1_i1.p1	1	sp|Q3MHL7|TCPZ_BOVIN	73.6	531	140	0	1	531	1	531	1.77E-286	790	sp|Q3MHL7|TCPZ_BOVIN	73.6	531	140	0	1	531	1	531	2.42E-286	786
TRINITY_GG_13048_c9_g1_i1.p1	1	sp|Q53F19|NCBP3_HUMAN	33.6	298	172	9	75	366	65	342	5.93E-33	137	sp|Q53F19|NCBP3_HUMAN	32.6	304	169	8	64	342	74	366	7.65E-34	136
TRINITY_GG_13048_c9_g1_i1.p2	1	sp|Q9HC36|MRM3_HUMAN	41.4	314	164	6	181	482	101	406	2.48E-66	223	sp|Q9HC36|MRM3_HUMAN	41.4	314	164	6	101	406	181	482	1.37E-70	230
TRINITY_GG_13048_c9_g1_i1.p3	1	sp|Q5I0D1|GLOD4_RAT	55.4	280	121	3	1	277	1	279	5.45E-112	328	sp|Q5I0D1|GLOD4_RAT	56	277	118	3	1	276	1	274	3.25E-113	328
TRINITY_GG_13059_c5_g1_i1.p1	1	sp|Q9VQH2|DUOX_DROME	78.4	1487	308	5	49	1533	62	1537	0	2437	sp|Q9VQH2|DUOX_DROME	78.4	1487	308	5	62	1537	49	1533	0	2436
TRINITY_GG_13060_c1_g1_i1.p1	1	sp|A9ULY7|IFT57_XENLA	52.5	394	182	2	14	405	8	398	4.71E-140	409	sp|A9ULY7|IFT57_XENLA	52.5	394	182	2	8	398	14	405	5.47E-141	407
TRINITY_GG_13063_c1_g1_i2.p1	1	sp|Q7TQ95|LNP_MOUSE	54.9	113	44	2	145	250	239	351	4.36E-29	117	sp|Q7TQ95|LNP_MOUSE	60.9	92	33	1	239	330	145	233	1.01E-29	115
TRINITY_GG_13069_c5_g2_i1.p1	1	sp|P25391|LAMA1_HUMAN	33.7	852	401	28	28	835	5	736	4.24E-107	366	sp|P25391|LAMA1_HUMAN	33.8	847	407	26	5	736	28	835	4.04E-117	393
TRINITY_GG_13074_c10_g1_i5.p1	1	sp|Q58EX7|PKHG4_HUMAN	55.5	364	158	3	980	1343	724	1083	1.93E-116	399	sp|Q58EX7|PKHG4_HUMAN	56.5	356	151	3	733	1084	989	1344	4.61E-118	399
TRINITY_GG_13074_c6_g1_i1.p1	1	sp|P35415|MYSP1_DROME	72.1	864	239	1	11	872	12	875	5.57E-297	844	sp|P35415|MYSP1_DROME	72.1	864	239	1	12	875	11	872	3.49E-300	849
TRINITY_GG_13074_c6_g1_i1.p6	1	sp|Q7TT79|MCPH1_MOUSE	38.7	137	80	1	1	133	682	818	1.93E-25	103	sp|Q7TT79|MCPH1_MOUSE	38.7	137	80	1	682	818	1	133	1.21E-25	102
TRINITY_GG_13089_c16_g1_i1.p1	1	sp|P34559|ECHM_CAEEL	68.6	264	83	0	30	293	25	288	2.36E-121	352	sp|P34559|ECHM_CAEEL	69.3	261	80	0	25	285	30	290	1.28E-120	346
TRINITY_GG_13089_c19_g1_i2.p1	1	sp|Q96BR1|SGK3_HUMAN	61.3	480	184	2	17	495	14	492	6.05E-208	588	sp|Q96BR1|SGK3_HUMAN	61.3	480	184	2	14	492	17	495	8.68E-210	589
TRINITY_GG_13089_c22_g1_i5.p1	1	sp|Q7YU24|MARF_DROME	58.8	817	282	9	1	769	1	810	0	912	sp|Q7YU24|MARF_DROME	58.8	818	280	9	1	810	1	769	0	899
TRINITY_GG_13089_c22_g2_i4.p1	1	sp|Q6A051|ATRN1_MOUSE	37.9	1352	602	36	49	1231	67	1349	8.89E-291	860	sp|Q6A051|ATRN1_MOUSE	37.4	1386	621	39	68	1378	50	1264	7.67E-289	852
TRINITY_GG_13097_c10_g1_i1.p1	1	sp|O75896|TUSC2_HUMAN	55.2	67	29	1	35	100	44	110	1.21E-19	79.7	sp|O75896|TUSC2_HUMAN	50.6	79	35	2	35	110	23	100	3.08E-20	77.8
TRINITY_GG_13097_c11_g1_i1.p1	1	sp|Q86KD0|Y7416_DICDI	49.5	109	49	2	3	105	6	114	5.08E-33	114	sp|Q86KD0|Y7416_DICDI	49.5	109	49	2	6	114	3	105	1.29E-33	112
TRINITY_GG_13097_c13_g1_i1.p1	1	sp|Q6IRU7|CEP78_MOUSE	35.9	337	209	3	1	333	1	334	4.21E-61	216	sp|Q6IRU7|CEP78_MOUSE	36	336	208	3	1	333	1	332	1.47E-62	217
TRINITY_GG_13097_c15_g1_i1.p1	1	sp|P89116|CASP1_SPOFR	64.7	272	95	1	11	281	25	296	1.49E-126	365	sp|P89116|CASP1_SPOFR	64.7	272	95	1	25	296	11	281	1.07E-126	362
TRINITY_GG_13097_c16_g1_i19.p1	1	sp|A5PKG6|UBE4A_BOVIN	35.9	917	534	21	3	891	8	898	5.20E-168	520	sp|A5PKG6|UBE4A_BOVIN	35.9	916	533	21	9	898	4	891	7.57E-168	516
TRINITY_GG_13097_c16_g1_i19.p2	1	sp|A8WGS4|TLCD2_DANRE	44.7	206	110	2	35	240	30	231	7.35E-59	190	sp|A8WGS4|TLCD2_DANRE	46.7	195	103	1	38	231	46	240	3.10E-59	187
TRINITY_GG_13097_c16_g1_i19.p3	1	sp|Q2KHU0|SERB_BOVIN	56.4	220	96	0	13	232	3	222	1.18E-91	271	sp|Q2KHU0|SERB_BOVIN	56.4	220	96	0	3	222	13	232	1.15E-93	273
TRINITY_GG_13098_c24_g1_i5.p1	1	sp|Q5RCW6|RBG1L_PONAB	46.4	834	377	19	20	832	13	797	8.72E-231	671	sp|Q5RCW6|RBG1L_PONAB	46.4	834	377	19	13	797	20	832	4.05E-228	661
TRINITY_GG_13098_c27_g1_i7.p1	1	sp|Q29R99|LIPT2_DANRE	59.5	215	81	2	2	214	6	216	4.62E-90	267	sp|Q29R99|LIPT2_DANRE	59.6	213	84	1	6	216	2	214	1.12E-92	270
TRINITY_GG_13098_c28_g1_i11.p1	1	sp|Q0IEK6|EPG5_AEDAE	30.3	2449	1477	45	245	2641	3	2274	0	1115	sp|Q0IEK6|EPG5_AEDAE	30.5	2450	1474	46	3	2275	245	2642	0	1112
TRINITY_GG_13098_c8_g1_i1.p1	1	sp|Q290F0|MED9_DROPS	52.5	99	47	0	7	105	41	139	7.44E-29	104	sp|Q290F0|MED9_DROPS	52.5	99	47	0	41	139	7	105	1.64E-31	108
TRINITY_GG_13104_c5_g1_i2.p1	1	sp|Q4R7V3|CEP43_MACFA	34.2	392	211	14	3	370	10	378	2.97E-38	144	sp|Q4R7V3|CEP43_MACFA	34.2	392	211	14	10	378	3	370	1.22E-40	146
